;Consommation électrique (MWh/salarié);NAF1;NAF2;NAF3;NAF6;NAF7;NAF8;NAF9;NAF10;NAF11;NAF12;NAF13;NAF14;NAF15;NAF16;NAF17;NAF18;NAF19;NAF20;NAF21;NAF22;NAF23;NAF24;NAF25;NAF26;NAF27;NAF28;NAF29;NAF30;NAF31;NAF32;NAF33;NAF35;NAF36;NAF37;NAF38;NAF39;NAF40;NAF41;NAF42;NAF45;NAF46;NAF47;NAF49;NAF50;NAF51;NAF52;NAF53;NAF55;NAF56;NAF58;NAF59;NAF60;NAF61;NAF62;NAF63;NAF64;NAF65;NAF66;NAF68;NAF69;NAF70;NAF71;NAF72;NAF73;NAF74;NAF75;NAF77;NAF78;NAF79;NAF80;NAF81;NAF82;NAF84;NAF85;NAF86;NAF87;NAF88;NAF90;NAF91;NAF92;NAF93;NAF94;NAF95;NAF96;NAF99
0;0.0;0.06170286801095567;293312141.8197123;0.07555520751494987;8.9911333477036e+19;0.0;4.729075485698999;0.03285066474937906;0.006365516327395245;0.006219296373704555;0.0;0.030245727222059537;0.07019478444074312;0.0426098964674158;0.01747326075095676;0.013095641122291456;0.019976686270891022;226233227500.84378;0.02443998800744532;35840.94927859098;0.01775634677966432;0.01190303133110634;142484043.33403662;0.01178644232875177;0.027323382716534915;0.02807400279464255;0.030801648097813182;0.02809996178957679;0.02544558476450937;0.01749892439770347;0.05296756000741748;0.13866207216113682;0.06667531028041145;149469.9176554899;0.144758140857645;0.07061743880648644;1538275.723984498;0.14705297416384747;0.15090403092023724;1.5755557703400906;0.05025729444195554;0.0514677748393964;0.009959023538034864;0.12609521090006734;0.17892584066329967;0.1061537869132205;0.04388660725769752;484417.1523454013;0.00306788630118141;0.020643221456530924;0.13032752885251583;11648.05929815634;0.047181178558077304;0.01631736896953682;0.6066640418322339;0.1972698995962479;0.06685824773859471;0.1376533129923578;0.15539618739413508;4975.402200851344;1.0146510648163836e+18;0.06516354924458773;0.3887360426020797;27731624.90200763;1.7564781656870426e+17;0.2148003776110833;0.030003549160397984;0.1305628302437193;3.881297749834676;0.41216314780660807;1.552380021829594e+16;5911588610856.78;0.11064068189409813;0.02872816193077015;0.09755743336397246;0.04365759985295623;0.04196605482658769;1.9984476046669673e+21;0.0992525546750432;29174.480703852518;0.005634236845300239;0.05160607059804972;0.1460077363481567;0.202859417221221;0.1433431685012452;0.0
1;0.5;0.059828310735171135;0.0990825396641565;0.09499331508704323;0.397411258953252;0.0;0.04049672495288822;0.04043472918943289;0.008265372180451074;0.007184926644508464;0.0;0.04362195649941923;0.09574981042946237;0.08376133753051541;0.02413214570355284;0.018014406200093824;0.027938743817877462;0.2613091129271582;0.0313633558316203;0.05258928359211065;0.024242982215351486;0.015635311235024246;0.07842759218136283;0.018491323206732885;0.04668998345481157;0.0489978438811197;0.047095466090655534;0.04115592542259876;0.033730337375195873;0.02650557318929634;0.0759125386417625;0.20057320016402483;0.0945547739814998;0.05621231472891993;0.16385095903186064;0.10026487818343002;0.29654543024040225;0.18372292366671336;0.2499219262819536;0.5704156104387043;0.06814473092447991;0.07805149735262255;0.011163667170140524;0.17508684360904525;0.2190946343550694;0.1506305044945344;0.06078128535675148;0.29356337597755117;0.004238529790637394;0.03237971691165445;0.23733299311947467;0.049997963051650426;0.06165232464137416;0.021624902419536646;0.37913532764686947;0.22493313600546175;0.08831670026364202;0.22642681518521962;0.23321696402525102;0.057011935662675574;0.29687185204280075;0.06307461982256313;0.3667673824242139;0.09301531897234405;0.23002212607296182;0.2518460260650378;0.037709049965787646;0.19423307292180952;0.5005458098076954;0.3578044609397252;0.32019195032573156;0.4373813497016302;0.14917285579878345;0.042627588831850874;0.16964769176710906;0.05751690096701279;0.05676986197300482;0.23579982302605815;0.13745160645729343;0.07552305098523528;0.006396377419259687;0.07378657257563119;0.1870960617401371;0.24567069255995758;0.20612359022000956;1.0399006652468699e-26
2;1.0;0.058010703925892956;0.07899186618936829;0.09858705235300645;0.20354798604945637;0.0;0.0380629509161933;0.04878619416641197;0.010384744390352807;0.008206470487803505;901.905666927063;0.05563956248216359;0.129744596860018;0.11981847368103302;0.02870452940079662;0.022211112712225884;0.036023831215936025;0.1795713194971582;0.03743714254899872;0.04577309246668124;0.028525613670630803;0.01945181081871084;0.06235301116220557;0.02560994434261928;0.06456172423658765;0.0701099429130475;0.06365941227122511;0.05336335949001148;0.04235815433708263;0.03622211058647;0.09221914850019966;0.20083907537508983;0.10992343702370674;0.048457970206743355;0.14727868460402213;0.10948524345298388;0.22057302382886038;0.17505441673763333;0.3147099808823671;0.2710175294774236;0.09247462182619151;0.09779701712580365;0.012513569657281657;0.21435590593268683;0.20580101290644212;0.20202833682310917;0.07151491703806781;0.24355896827729426;0.005569105189198853;0.04547578615241029;0.3523676575700586;0.04237304119833294;0.08020868380907166;0.026706932517106752;0.2559110748092287;0.19748631319073406;0.1166587510302298;0.3201557196671187;0.2722691569932314;0.050327730326446746;0.1817639250886669;0.06105265606689296;0.2512629630632928;0.0752011356169442;0.14499636414390654;0.21470328839484615;0.04737112118166764;0.2054415434059734;0.1553595881584822;0.24257819716514706;0.15888277604152695;0.25040407356602723;0.15240038652617008;0.05671873968382573;0.2857935583679154;0.07676982860458587;0.07738107592823008;0.13508283492150175;0.14943260998741206;0.06566647923014841;0.007274442705265354;0.08555148252546242;0.17820866335863939;0.21300755773246777;0.2502300497783704;0.0009077299811742187
3;1.5;0.056248316041855734;0.06883003136747914;0.09508478101371158;0.12426303502406842;0.0;0.0366044396198953;0.05770572691213016;0.012683319217801704;0.009276978532097697;0.19203078197872275;0.06509223829754858;0.16879299178065357;0.14169932738605379;0.032080450542366516;0.025802560445882264;0.043653499188159715;0.14019753610163957;0.04247019597764894;0.042116994775167504;0.03161811342340291;0.023195994947481716;0.05449776724566685;0.03253481790000197;0.0783780654511162;0.08758575890249065;0.07839756940813268;0.06357473947503736;0.05080965021050919;0.045793969160466325;0.10145462189964598;0.17864578700012387;0.11507944179702913;0.04434157394840036;0.12641314034897116;0.10822524478616416;0.17647943677518776;0.15358186137973534;0.23393530682547245;0.15060446294993726;0.12363705470899608;0.10881518036398312;0.014022881757379133;0.2068049368342711;0.17730336778820754;0.2358551215199284;0.07715299188828488;0.21116035425151256;0.007036964801076324;0.058551487656834864;0.25583038996166746;0.03844592801065906;0.10283652341318389;0.031328524331237645;0.18255750099794488;0.16216495405130973;0.14903736500877665;0.3035014856590083;0.2152635968127401;0.04675560796295917;0.13400763967705043;0.05909550838306103;0.1729872992741922;0.06634274223473358;0.10910392752822018;0.17102430549201786;0.05925845769498107;0.18782351469746478;0.06825056082470912;0.16695193484171525;0.0969723202886914;0.16404702708768984;0.14104339418585138;0.06942925978899837;0.3745099609424788;0.1028182130236804;0.10508598759998963;0.09667384673015425;0.1457538518790107;0.0604379802539846;0.008286754438769162;0.08989436905843928;0.1556844575378815;0.17134479063397018;0.22608962467950622;0.023250203451242697
4;2.0;0.05453947083338377;0.06219460782533922;0.088880818483761;0.08151449272588536;0.0;0.03553217753016488;0.06692180218035329;0.015115242911222982;0.01038899914594327;0.08445459762342943;0.07158758884911079;0.20024139917629374;0.14904636293053555;0.03464020222862098;0.028871418047367942;0.05041213106947977;0.11532787672558778;0.04643572592793668;0.03964362463417157;0.033925854121747354;0.026746932113761085;0.049506729445907276;0.038848733216648564;0.087478692878568;0.09955675296117117;0.08992960005727668;0.07129401182036277;0.05861855605747576;0.05452951080732862;0.104864007835072;0.15236695646144977;0.11356065967753422;0.04157703662014259;0.10791744536116965;0.10242854986988018;0.14548107416206288;0.1312639971235992;0.1400308644534817;0.09268116319313563;0.15884320145953781;0.11224237897635353;0.015705763157637588;0.1609183073774607;0.14838380673687557;0.22487813268025672;0.0791712166193301;0.18413916432882918;0.008617902191719986;0.07037033959277345;0.14027243222420782;0.035870420061473736;0.12810666840714072;0.035360764553006414;0.13576713212393432;0.13155131489391933;0.17417295452156673;0.20222245244971157;0.1403865426913049;0.04434415202343771;0.10591700318958772;0.057201101784371225;0.12404610732888917;0.06063533185981503;0.08826863063363226;0.13534317133895687;0.07344671408997823;0.16111605869524703;0.036171672084835696;0.11990414683036614;0.06431133556427768;0.11355588948222911;0.12555331805846956;0.07969158698083134;0.3121118031937094;0.13543021151590498;0.13938085098302605;0.07554738357428846;0.13483568482435604;0.05691223357534644;0.009454236960041646;0.08971946120368555;0.1324822778327728;0.13644008163078467;0.16326317069182325;0.06002522339290498
5;2.5;0.0528825403708431;0.05732591851391409;0.08195422832880407;0.05562029312146692;0.0;0.03466728105686986;0.07610090989569113;0.01763209045610606;0.01153472795372416;0.05131843781803992;0.07528421687267547;0.206245522340795;0.14566534586332128;0.03659490398119581;0.031482143365334135;0.05605353276549276;0.09762506630727665;0.049399692891447765;0.037782208813600164;0.03566505621354416;0.03001889771084122;0.04592796410253226;0.04431314283667437;0.0922889640345008;0.10586823336377425;0.0976812655959372;0.07649357644040335;0.06541906140475669;0.06196495369163921;0.10407190904312207;0.1282252617105035;0.10822723704653862;0.039508674227121544;0.09266495201884833;0.09500707078494298;0.12190628467883721;0.11155021434660235;0.08649401611823097;0.06128023604392622;0.18974385301498145;0.11022871489989514;0.01757583640449996;0.11429818072944065;0.12329993416431231;0.17889081259394454;0.07879748825960362;0.1595913479393544;0.010287221466046138;0.08005822552984125;0.08300084196136259;0.033983196215248646;0.15237551048048256;0.03875315911906205;0.10430386032828097;0.10729349236977266;0.17633910070043207;0.12227031457875402;0.0910827280156979;0.042528089718057036;0.08653656570211357;0.05536742228515265;0.09255259317287765;0.05648835786329005;0.0743058782197623;0.10825401120106201;0.08961656334472977;0.1346260012276493;0.021565714448748594;0.0896228857417116;0.044575841789452945;0.08100503682660337;0.11011814877098396;0.0870094881529998;0.19091554159358087;0.16947413722372032;0.17520211703827263;0.06180358729074436;0.12144664780780519;0.05425018771433671;0.010800581307861736;0.0870053600000146;0.1121668069122762;0.1095893662412775;0.11008999133041646;0.08644139962751156
6;3.0;0.05127594870766196;0.053503846506612274;0.07515697554314575;0.03890911518377346;0.0;0.033931627516092085;0.08486565618253818;0.02018544637417217;0.012706148416080419;0.0357551899636354;0.07661986151730536;0.18260113011534196;0.13589386823571653;0.0380789970166293;0.033687729800103636;0.0604761333485042;0.08414970697563158;0.05147257014685569;0.03629173016822221;0.03696943661946392;0.03295719067320425;0.04317336913853968;0.048827352356989435;0.09365963933850763;0.10735608280280097;0.10172168572521989;0.0794175240082739;0.07096698801383368;0.06785901908505292;0.10052357814638929;0.10775220608904251;0.10100247188049298;0.03786077993923014;0.08027434740324016;0.08730962288056986;0.10321460435966913;0.095026532605264;0.05751808537015208;0.04273484541859681;0.20409999940930545;0.10482940935580508;0.01964545863010969;0.08078089163269267;0.1026572215956171;0.12886730084981196;0.07691957748093388;0.13673742819780166;0.012020540539254191;0.08716239154392967;0.05434020853032082;0.03250805278544857;0.16997140215200515;0.04150791171212454;0.082247796595667;0.08847354905508423;0.15388262968902722;0.0762709210597644;0.062060427763856355;0.041068464838773196;0.07190952475215782;0.05359252580086197;0.07140838312191279;0.053253380251686716;0.06414332069254168;0.08790025793582845;0.10681734559321368;0.11157180570087658;0.013939977049627506;0.06926273957521614;0.0317348443605845;0.05888992686925422;0.0961812224257819;0.0913585681951504;0.10937165988506466;0.19258166301736504;0.20130899862082632;0.051943659735551116;0.10794511306698462;0.05209963280714914;0.012352306539566198;0.08297231292108306;0.09526214919157215;0.08924970192568864;0.07530808590724367;0.09974354927143042
7;3.5;0.049718165325944905;0.050367889748884176;0.06882926377367313;0.027690829637513053;0.0;0.033284136824749615;0.09281966898209063;0.022728996462383026;0.01389516169125847;0.02689364719541521;0.07611821087272927;0.14438414376534353;0.1231120214419468;0.039185694681000596;0.035533154798014804;0.0636867033054307;0.07344646525479626;0.05277995004886028;0.035048684772604935;0.03792958371695706;0.03553250020243231;0.04095113446099268;0.052385107728572695;0.0924937868907969;0.10521489973518557;0.1025202200531318;0.08043205479998461;0.07513918966395873;0.07215159222606748;0.09532934879551885;0.09088925068387273;0.09306967968532809;0.0364925289960033;0.07018470249758992;0.07993215069704765;0.08801536287234606;0.08141260167161671;0.04078911098946863;0.031052290308927817;0.19462464479613303;0.09762197525780988;0.021924786633512966;0.058634790723347346;0.08596716973648354;0.09024817733611895;0.07414367577453515;0.11549036037550961;0.013794383982181696;0.09159988032778953;0.03840492286471517;0.03130499292827459;0.17540647342764426;0.04365966191057763;0.06625651207269995;0.07385491192489366;0.12164327747339125;0.05040631954405266;0.044531746008163585;0.039842868190657875;0.06025150876032026;0.0518745253996838;0.05663581257116991;0.05060720785761069;0.056339063291759264;0.07247603736787903;0.1233147204802249;0.09253034955041323;0.009557836291450133;0.055013727055169985;0.022990737080873742;0.04337282624082708;0.08408245648887207;0.09302713521552562;0.0651923537476226;0.19190016250150568;0.20547065491835786;0.04440415747901784;0.09537378139282075;0.05028122867123216;0.014138650666400389;0.07834396615474654;0.08141580661962886;0.07375072946012753;0.053489214058394886;0.10392097913527967
8;4.0;0.04820770858030624;0.04771353255384249;0.06308003599843394;0.019956556497797342;0.0;0.03270055837537644;0.09957713257947777;0.02522010404277628;0.015093704574207572;0.021247894920494833;0.07427899323125418;0.10766123463239975;0.10951941571717638;0.03998345326553372;0.03705737912221733;0.06576440218346996;0.06469361617086551;0.05344605948948804;0.033981694491967245;0.038610771082510334;0.03773516762507487;0.03909705675601303;0.055038686353101406;0.08958193605157555;0.10061535156686689;0.10072805677434549;0.07993034980274799;0.07791825085676748;0.07491159044229342;0.08927723641360202;0.07712660899482114;0.08511331658959459;0.035322747294013336;0.06190090944464818;0.07311255585365041;0.07544778307348621;0.07023086322031054;0.030409931783995755;0.023312972801859035;0.16624165231370872;0.08968229240523842;0.024420620108273266;0.04398059155319702;0.07251822640348525;0.06377625714956348;0.07087226955393756;0.09599472520083752;0.015586608736120803;0.09355530846701508;0.028691878737045894;0.030293840062858138;0.16674894260351347;0.04526090758960372;0.054335127034298894;0.062394373188072595;0.09231460761234245;0.03516320438952727;0.033382762818125376;0.0387806573703808;0.050640847040455905;0.050211598450653934;0.04595277693465046;0.04836741546043878;0.050116325593366144;0.06061769862957677;0.13672117062429978;0.07712940403018927;0.0068541892575009365;0.04469242457780482;0.01685454831212471;0.03224799310036598;0.0737470210040245;0.09246549127044881;0.04128825098671214;0.16786144372788223;0.18541916637581285;0.0383785860175018;0.084110787684122;0.048692077035209766;0.01619119869647448;0.07353974778703191;0.07009693729814284;0.061787465127239115;0.03949288652912591;0.10271996649389835
9;4.5;0.0467431395356842;0.0454143330575868;0.05791540100631257;0.014521425696616767;0.0;0.03216538861137408;0.10479391085473451;0.027620895114574807;0.01629385480010373;0.01737405984013543;0.07152840759240466;0.0789037684175675;0.09637412973968788;0.04052465772483879;0.038294617480455546;0.06683064503454067;0.05738334015228497;0.053585400938116805;0.03304594520768681;0.03906215579074462;0.03957001595235056;0.03751039949913566;0.05687254291675427;0.08555282988997247;0.09453236612321066;0.09702388543589587;0.07828027428541698;0.07936956586535696;0.07628834127271887;0.08289731686245459;0.06589707058623819;0.07750441136162743;0.03430058457245191;0.05503148236967213;0.066919731592437;0.06493349010869857;0.061018801682326304;0.02356453723403399;0.01797451651360877;0.13104861627132736;0.08168485441976478;0.027135024359503254;0.03401696788461246;0.06164774544156396;0.046130869804854285;0.0673680059442745;0.07843627346769105;0.01737669701695649;0.09337259671060603;0.02233520874860809;0.029424651759522604;0.1470230733673597;0.04637214937311613;0.04523753069409091;0.05330176121717101;0.06979175839182201;0.025657405537596774;0.025924770526578888;0.03783759305679539;0.04255382474248397;0.048601980632048694;0.03799734799396492;0.04642186694770441;0.04501510504561898;0.05135648302373211;0.14456431609730158;0.06475151403517099;0.0050921533398584715;0.036994920487203084;0.012457877146902961;0.024149207449017687;0.06496570851193273;0.0901726408141574;0.027667646940350198;0.13364644556595023;0.15127652595416252;0.03340817877107532;0.07421653447693978;0.047268127384243956;0.018543126485664866;0.0687968563283536;0.06080775890852766;0.052416420094883065;0.030169485260835127;0.09862174253587742
