,0,1,2,3
0,,,,
1,alpha,-8.804196654699545,39.663630169506916,"(2.2083969201424862,)"
2,pareto,-0.013461290420983922,5.013461285756076,"(1.6367361603772848,)"
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,chi2,9.999999999999998,8.050245709894485,"(1.410504229297099,)"
9,chi2,8.999999999999998,0.7951805141436903,"(1.1039935858859617,)"
10,invgauss,-5.130631869618416,90.81470518126505,"(0.2836064238815572,)"
11,pareto,-0.025622949919172088,12.025622933174745,"(1.295225926434381,)"
12,,,,
13,invgauss,-4.2253235033676955,40.51050663651695,"(0.4905881126565882,)"
14,alpha,-4.38871189700024,24.041992366748794,"(3.406382453299736,)"
15,gamma,1.9999999999999996,3.8858929703737193,"(0.4162926761742245,)"
16,beta,-5.428870858491956e-27,45.50336013746241,"(0.7201019856326113, 1.047974448097753)"
17,t,18.874588032918716,10.79841075746075,"(5353407.791699394,)"
18,t,9.878757694060223,3.839526383065701,"(1.7879329901172452,)"
19,,,,
20,alpha,-5.533128143259717,34.87129718679212,"(2.2741159837887244,)"
21,chi2,7.999999999999998,0.7951789350966876,"(1.1039936217129878,)"
22,chi,0.9999999999999999,34.80961779900902,"(0.4464086359448445,)"
23,alpha,-8.322038178639787,53.14443216217863,"(2.8215510417897125,)"
24,chi,-1.0203321229950528e-28,22.98708071455807,"(0.34354835061029343,)"
25,lognorm,-3.0504438426342704,15.678802178831443,"(0.5692232512283584,)"
26,loggamma,-7.315768304652041,8.156865240665702,"(5.9994567040444045,)"
27,invgauss,-1.186484419301331,16.5112642093666,"(0.7342851802223334,)"
28,pareto,-77.89179324571461,78.89179323131862,"(11.03917056485355,)"
29,gamma,-0.42646876293134794,12.334018875167882,"(1.3461095882446863,)"
30,chi,5.999999999999998,2.4368134297075548,"(0.0780454995835296,)"
31,t,7.161368752034786,3.9304915336877624,"(2.366386966826659,)"
32,t,3.961472024912829,2.3083978655205226,"(1.7776152634269549,)"
33,t,2.542402162158888,1.9899223472763787,"(0.9414021277196577,)"
34,,,,
35,chi,-6.300459233274705e-28,12.347376547758312,"(0.39387697722535436,)"
36,alpha,-1.2217787102857318,3.977471194979427,"(7.293502439904032e-10,)"
37,pareto,-0.12569703989092418,39.12569703967415,"(8.787228605698811,)"
38,chi2,1.9999999999999998,4.443691372170516,"(1.5886974444380237,)"
39,,,,
40,,,,
41,chi,-2.739106376202728e-29,23.385025016591324,"(0.5324252614418779,)"
42,alpha,-0.9418161999572425,1.5415508477662065,"(1.8957506320037514e-08,)"
43,chi2,-5.054077545579344e-31,2.968931275270182,"(1.2384919089083184,)"
44,,,,
45,loggamma,-388.81455863163205,56.7035555264562,"(997.7311043982902,)"
46,invgamma,-1.9801996401947997,14.347959473693416,"(3.112210134441939,)"
47,t,10.654795749879295,5.271364880224825,"(4.196475565141016,)"
48,,,,
49,pareto,-1.2532986372143542,1.2532986358594993,"(1.58629485571109,)"
50,,,,
51,,,,
52,t,7.7320848083331235,4.98796530642068,"(1.806828562641476,)"
53,norm,0.875,0.7806247497997998,()
54,,,,
55,lognorm,-2.3483555144950206,15.432819173780995,"(0.6397895930895705,)"
56,invgamma,-3.643091833859028,44.74892751804484,"(4.372943097115085,)"
57,,,,
58,chi2,0.9999999999999999,0.9833333333333334,"(1.0444444444444443,)"
59,lognorm,15.999999999999996,0.006863592685583793,"(5.339003103504169,)"
60,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
61,pareto,-0.0470482084802374,9.047048208039246,"(4.545726146307468,)"
62,loggamma,-120.56230814617884,16.952737968751606,"(1251.0233010242032,)"
63,chi2,34.99999999999999,0.7967837662695022,"(1.1021710078760387,)"
64,t,2.834963715071815,1.9041816814783687,"(0.8226368225071412,)"
65,alpha,0.0007805355246123932,1.8453319059198527,"(2.2460459904964184e-07,)"
66,alpha,-0.8440216776960119,1.6717154554523201,"(1.993170673923153e-07,)"
67,,,,
68,invgamma,-118.13068398546449,16898.015472752682,"(123.26179894771212,)"
69,loggamma,-142.92103222129967,19.187091382496675,"(1744.388963304316,)"
70,invgauss,-2.349236251429227,17.298701918939265,"(0.9982962904736814,)"
71,t,2.109184267265772,1.6071875446250037,"(0.8238309280081124,)"
72,chi2,10.999999999999996,0.7951792982306919,"(1.1039936134738304,)"
73,chi,-2.0312314628189055e-28,6.234936720435926,"(0.3365478935768649,)"
74,chi2,22.999999999999996,0.7951809895121461,"(1.1039935751003576,)"
75,chi2,42.99999999999999,0.7967838268347023,"(1.1021710054914615,)"
76,,,,
77,chi2,-3.893394707969887e-29,1.8199489818103456,"(1.327295916383472,)"
78,,,,
79,chi2,-1.262844170688233e-27,1.733334603697915,"(1.449996483159467,)"
80,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
81,loggamma,-278.16310384933666,38.930365545249245,"(1316.2976184081563,)"
82,invgauss,-0.9613963179861204,5.624866389217413,"(1.784628141089537,)"
83,,,,
84,alpha,-6.447647691610237,30.543442005639967,"(2.466742053938948,)"
85,t,1.3740950771705773,0.7456052755341089,"(1.8509497147215206,)"
86,t,3.0427064841833893,1.4789194832325911,"(1.2146370218165563,)"
87,t,2.8714440348331944,1.9497619325963742,"(5.224666235453348,)"
88,chi2,-2.113336907070892e-31,1.3238398491035182,"(1.7742911585208985,)"
89,,,,
90,gamma,3.999999138793968,12.763311906238208,"(0.34038680871417726,)"
91,chi2,-1.262844170688233e-27,1.733334603697915,"(1.449996483159467,)"
92,alpha,2.0000071689594283,73.48460404178797,"(6.123720656265553,)"
