,0,1,2,3
0,,,,
1,invgamma,-2.8598127550818937,26.821204540437268,"(6.103361895639381,)"
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,gamma,0.9999999990418522,7.291810854307926,"(0.22917561622358323,)"
9,,,,
10,alpha,-11.847087737494423,88.96623931289287,"(4.031034372582447,)"
11,pareto,-0.00669085267254042,7.006690851214901,"(1.316357411978891,)"
12,,,,
13,,,,
14,alpha,-0.07926059677958419,49.11590045643654,"(7.079255876033035,)"
15,,,,
16,gamma,0.9999999999999998,0.889486663631117,"(0.380792979431929,)"
17,,,,
18,chi,-7.736694003664421e-31,19.57878032291641,"(0.5274853784978446,)"
19,,,,
20,loggamma,-2.7663237828626386,7.625304435553435,"(4.368877839473063,)"
21,lognorm,0.9999999998978618,0.03239247920941021,"(4.4243608059410775,)"
22,invgauss,-3.073039478604631,20.70372597260744,"(0.765601723652825,)"
23,invgauss,-2.6205589141869154,16.7497343914565,"(1.0465629238556164,)"
24,chi2,6.999999999999998,0.9761837446147601,"(1.0448329437293125,)"
25,invgauss,-2.946940145372341,25.695199174686977,"(0.5132061496337952,)"
26,t,1.9201038150636376,0.7783719362838978,"(0.8329384437159729,)"
27,invgamma,-4.368302185666928,46.810089373697295,"(5.775239728157466,)"
28,chi,-8.268564928712637e-27,14.518955294528018,"(0.5600074378434408,)"
29,invgamma,-0.2059213049959745,17.4034034026543,"(2.630185861810218,)"
30,gamma,1.9999999999999998,0.9467994599621833,"(0.4449211832110727,)"
31,chi,1.9999999999999998,11.471139649949762,"(0.6589415540855368,)"
32,alpha,-5.374035516509198,23.031738099995508,"(2.3659261340344266,)"
33,t,1.2159213520786225,1.2457098219452534,"(2.3682854669357454,)"
34,,,,
35,pareto,0.0017539826867160545,1.9982459568457305,"(0.6685726345681786,)"
36,chi2,30.999999999999996,0.7967816511104338,"(1.1021710911542528,)"
37,gamma,-3.975990437536958e-27,2.5924617818158278,"(0.3668128884039791,)"
38,alpha,-1.407007673993004,3.0377459735012793,"(1.3482538714182567e-05,)"
39,chi2,13.999999999999998,0.7951801826330198,"(1.103993593407678,)"
40,,,,
41,chi2,-2.089273201875717e-29,9.926317348944426,"(0.8666676029175555,)"
42,alpha,-0.6774515944592692,1.126130889695533,"(1.8314768752214803e-07,)"
43,chi,-1.2088624410460021e-26,3.9024876392698244,"(0.2650130846081612,)"
44,,,,
45,norm,3.2285714285714286,2.4504893305590363,()
46,alpha,-3.8171314611015346,16.106123122622378,"(2.6089920842120398,)"
47,t,8.60110217164759,2.847056353726285,"(1.870104865844619,)"
48,,,,
49,chi2,-3.753613161166032e-30,7.569211123168829,"(1.0687740945264,)"
50,,,,
51,pareto,-1.6175726372871648,1.6175725285781728,"(0.6955949167234793,)"
52,pareto,-2254.8598547978017,2254.859848392673,"(185.42656878185096,)"
53,t,1.0782406024966074,0.9140671458792006,"(4.421607999901948,)"
54,,,,
55,invgauss,-43.910710276048206,2262.6449126484094,"(0.03186112924004168,)"
56,alpha,-4.583982785292488,31.322516605388717,"(3.730112730659375,)"
57,,,,
58,alpha,-1.0789600794612053,2.7140199419141036,"(0.4353518377919541,)"
59,chi,0.9999999999999999,24.441110069118473,"(0.574042947129235,)"
60,,,,
61,chi2,2.9999999999999996,4.669259096793647,"(1.9773844097246351,)"
62,beta,-1.3990759168498528e-27,1089.4894860121203,"(0.26973383801241047, 166.33466676628134)"
63,loggamma,2.603180461363371,5.948262977196087,"(2.825131494119562,)"
64,alpha,-4.289617803684408,19.427794328064778,"(2.6755285049026747,)"
65,pareto,-1.5659971679967855,1.565997166975262,"(1.0304888045631255,)"
66,alpha,-0.9544597544683793,1.9198471740711427,"(1.9848361139982436e-07,)"
67,,,,
68,invgamma,-58.04208589594633,3393.6296924666967,"(43.968620153510486,)"
69,chi2,-7.584049246009269e-30,1.4068806212775602,"(1.4241377000475568,)"
70,t,5.573974514155623,3.8307153222006427,"(1.092574458889592,)"
71,norm,0.9545454545454546,1.3643937290730574,()
72,chi,-5.449734212923383e-29,9.364041990530747,"(0.389994251422475,)"
73,chi,-5.557611298414669e-28,10.033289267919827,"(0.35783774073829666,)"
74,gamma,-3.7250023922786786e-26,6.147171302004219,"(0.4161906229920358,)"
75,chi2,3.999999999999999,0.9974857742105192,"(1.0177443243299482,)"
76,,,,
77,chi2,-1.262844170688233e-27,1.733334603697915,"(1.449996483159467,)"
78,chi2,-1.6232494216985164e-29,1.303371266510415,"(1.5264673307814456,)"
79,chi,-7.896839792465744e-30,0.8816398533329972,"(0.26420645419071176,)"
80,pareto,-1.4468020159516728,1.4468017199267513,"(1.9601061206668642,)"
81,beta,-5.6798663596909015e-27,377.70989874746607,"(0.37651112049319324, 780.6149592120291)"
82,gamma,-3.3534129647007234e-29,7.008560860265698,"(0.2936084671583332,)"
83,,,,
84,t,6.463291188653046,2.98713545533845,"(3.4907389042688415,)"
85,norm,1.3488372093023255,1.5078665188323095,()
86,t,4.021494256402011,2.4855170499290438,"(2.886043695777116,)"
87,t,2.9474167483934055,1.4905589826064105,"(2.1259885565409444,)"
88,chi,-1.9565899349233105e-26,9.795922259286836,"(0.3325227690346274,)"
89,,,,
90,chi2,0.9999999999999999,2.3924573346479816,"(1.5293355538060611,)"
91,chi,5.999999999999998,4.050640338134317,"(0.8141959753091919,)"
92,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
93,t,4.231302591219994,2.3590492761140203,"(2.0804679659288046,)"
94,chi,-6.124100092076484e-29,5.270833658813685,"(0.4165404112529696,)"
95,pareto,-0.003941803675837701,2.0039417859448685,"(0.700168084369774,)"
96,t,1.5178703844060553,1.2621712443109454,"(4.040688895783093,)"
97,,,,
98,,,,
99,,,,
