,0,1,2,3
0,,,,
1,gamma,-1.1799712514620352e-23,18.05979509410657,"(0.8933558211048178,)"
2,chi2,27.999999999999996,0.7967838629426348,"(1.1021710040698172,)"
3,invgauss,-0.6075480492454569,6.452949473346308,"(2.45740998425918,)"
4,,,,
5,,,,
6,chi2,-3.3236152831688453e-34,1.0160492250559816,"(0.779425722663547,)"
7,,,,
8,chi2,-56.96013815264983,1.2070561415877124,"(66.76873340974345,)"
9,chi2,5.999999999999998,0.870889600353679,"(1.005158242299189,)"
10,chi2,-2.930745602632739,3.00636716207062,"(7.013546209678324,)"
11,beta,5.994543716075778,23.005456283924225,"(0.2439886963024933, 0.24778976682368326)"
12,chi2,9.999999999999998,0.7951799424170525,"(1.1039935988579175,)"
13,chi,2.9999999999999996,8.733404696698141,"(0.533274377341947,)"
14,alpha,-0.19975484379003078,4.068572916317928,"(1.6559824773635365,)"
15,alpha,-0.30629983213904,2.902015708109238,"(0.025972323600009208,)"
16,alpha,-62.31875341596984,572.5401122269941,"(7.339682085277612,)"
17,pareto,-0.05933815021507434,11.059338144204077,"(5.199363838646492,)"
18,t,4.885053685911983,2.0156733600427748,"(1.5009747015890675,)"
19,,,,
20,t,1.882528722294619,0.8433706155174304,"(0.5146487928290849,)"
21,pareto,-0.013052983089583053,4.013052964979938,"(1.028779891701873,)"
22,invgauss,-11.007322146880224,125.57273099192892,"(0.2435142598892374,)"
23,chi2,2.999999999999999,8.433403504515994,"(1.7763624330401258,)"
24,pareto,-0.14989517500412136,21.149895174756757,"(6.9950908455397816,)"
25,invgamma,-5.636832732764272,53.36661378461835,"(4.027384605007221,)"
26,beta,-1.7241729174000185e-31,20.582324877668608,"(0.35002935874397956, 0.7412807981164031)"
27,invgauss,-2.850098890582113,29.594446682397646,"(0.20893892998691513,)"
28,invgauss,-3.2117990703855566,30.999652988376624,"(0.27498050415594566,)"
29,t,4.000011239647568,1.000063110978007,"(13792986.31897439,)"
30,loggamma,22.000115942350668,8.393035272895986e-06,"(1.9895035260131693e-06,)"
31,invgamma,0.33958875218223816,38.7213150734718,"(6.067260438120926,)"
32,chi,0.9999999999999998,17.665941045426756,"(0.4444442510767262,)"
33,t,1.9820155199717058,1.5488906834953444,"(1.1481831399526026,)"
34,,,,
35,chi,-9.998364070328994e-29,10.752063265642898,"(0.5021489461401111,)"
36,chi2,-7.491513080226468e-28,1.8250047017213147,"(1.3292503166304828,)"
37,alpha,-0.0019546417111200413,2.8115407201357314,"(1.510595036814436e-07,)"
38,chi,-7.275827364721604e-27,14.53663152352717,"(0.61207940121437,)"
39,,,,
40,,,,
41,invgamma,-1.2484875891555123,5.874733808194435,"(1.4504715234359833,)"
42,chi,-8.298363108028149e-28,14.216865980572289,"(0.47736850345855597,)"
43,chi,-6.550409122356636e-27,4.70362728234538,"(0.30752932640594743,)"
44,,,,
45,t,2.906875703397893,1.4671579830692831,"(1.4241444984738076,)"
46,invgamma,-1.2667342332120435,7.179794664179292,"(1.4950480831877913,)"
47,loggamma,-2270.444991141734,313.3782312401826,"(1458.8945845995513,)"
48,,,,
49,chi,-2.9910578591488984e-28,11.083742834039214,"(0.3077253440023948,)"
50,,,,
51,,,,
52,chi,-1.8177851343076648e-29,20.217242982771715,"(0.7517311600108931,)"
53,loggamma,-211.25099692350545,29.31113134441098,"(1382.3664750148027,)"
54,,,,
55,invgauss,-14.934965049994492,356.1894542892064,"(0.09877080437087524,)"
56,t,8.225418771345364,4.718353864365804,"(2.0998968691292053,)"
57,,,,
58,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
59,pareto,-0.012540513317250482,8.012540509003344,"(1.3245312119156885,)"
60,chi2,1.9999999999999998,3.6668295441489556,"(1.0074061657262945,)"
61,lognorm,8.999999999999574,0.42653543394913596,"(5.254943417755532,)"
62,gamma,1.9999999999999998,0.2532639930247961,"(0.5934937235934712,)"
63,,,,
