,0,1,2,3
0,,,,
1,invgamma,-2.952053845998414,19.972870662942093,"(2.9876684533476494,)"
2,invgamma,-1.2563524703664302,5.248928749041166,"(1.3269168418074857,)"
3,invgauss,12.171402489429088,3.305018287759287,"(3.821042099404866,)"
4,,,,
5,,,,
6,,,,
7,,,,
8,invgamma,-0.8529675149389001,2.33762873606303,"(0.7938488088180924,)"
9,,,,
10,invgamma,-7.720858085608855,117.06394315425592,"(5.832052672374014,)"
11,beta,11.999999999999998,33.04369819491411,"(0.6654629765267195, 1.1093594414223742)"
12,,,,
13,beta,0.30511487376371327,7.694885126236287,"(0.3311673517881407, 0.1377633490086157)"
14,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
15,alpha,-0.004685690885235691,3.372395502120768,"(1.7412864555515317e-08,)"
16,invgauss,-0.17611034193878977,21.452153284142852,"(0.6846280859971445,)"
17,gamma,-2.5552683104484486,8.397288621808396,"(2.342772244809807,)"
18,t,6.55814716952224,2.3733599858105894,"(1.0396859677000356,)"
19,,,,
20,lognorm,-0.49338460802651085,5.980434096793319,"(1.1359506441224294,)"
21,pareto,-0.00947488610520897,7.0094748717352875,"(1.0966039666356895,)"
22,t,3.847435691028278,1.2545838385996366,"(0.7001015890593758,)"
23,pareto,-1554070118.665891,1554070119.665891,"(74308286.72272831,)"
24,alpha,7.217601999007956,2.991195883654583,"(4.887051015908373e-09,)"
25,invgamma,-2.6911465426741668,26.426628830525296,"(2.982572402603025,)"
26,t,5.666600441469721,2.9247881596117766,"(8818757.51671477,)"
27,t,4.834862164324589,2.4509664513933154,"(1.2366732984700977,)"
28,invgamma,-1.6404137477920449,20.41061397055315,"(3.845944143412847,)"
29,alpha,-3.223198573359565,12.010196383845145,"(1.7128350263456085,)"
30,t,8.208150504883232,3.5584985419975244,"(1.2396050197516082,)"
31,gamma,-7.364844310177989e-28,6.071730348336935,"(0.5111007098422276,)"
32,alpha,1.0424068799759885,1.7079432892286595,"(1.6924569667079606e-08,)"
33,t,1.789210117132726,1.722962557713986,"(1.547749472432666,)"
34,,,,
35,invgamma,-2.120331610047443,12.669342819674938,"(2.5126589569178863,)"
36,t,16.872252668351777,7.928194081516073,"(4.071557902748324,)"
37,chi2,-1.1135914009403285e-25,9.147303610477678,"(1.847200764912718,)"
38,t,1.7716292584725357,1.446466237251122,"(0.7990681086985735,)"
39,,,,
40,,,,
41,invgamma,-1.081348120526043,3.639304263247669,"(1.157322461356177,)"
42,alpha,-0.6137819338842916,1.119725296076649,"(1.7034047648712627e-08,)"
43,gamma,-3.9216966111893965e-30,10.73163102890586,"(0.3799383459489082,)"
44,,,,
45,t,3.214897235196622,1.4115373451608542,"(2.7543684898009158,)"
46,invgamma,-2.6738736177008553,18.09018280856624,"(2.910922699004951,)"
