,0,1,2,3
0,,,,
1,chi,-2.206490007900052e-28,25.927372575919374,"(0.646935717934414,)"
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,alpha,-0.004246715562819177,3.529731531619044,"(3.133186801953727e-09,)"
9,,,,
10,chi2,-1.451331405325849,3.5795831373143443,"(5.230788328198817,)"
11,gamma,7.999999999999998,15.870513772922967,"(0.7475720452342776,)"
12,,,,
13,pareto,-0.0014924327354167359,2.0014923968577785,"(0.7349737357237894,)"
14,beta,0.837885887290103,1.162114112709897,"(1.8579470487102379, 0.2537582135951819)"
15,invgamma,2.633120597288582,1.4360362012532066,"(2.5336273115099894,)"
16,invgauss,-26.777132160530087,1600.5552422810433,"(0.027174021847124252,)"
17,beta,10.999999999999998,15.28956805440063,"(0.49915976616333346, 0.3892564079242516)"
18,chi,1.9999999999999996,23.14436569465032,"(0.6439929458366501,)"
19,,,,
20,t,10.877577839318922,3.0575028550613883,"(1.1443244655828484,)"
21,chi,11.999999999999996,26.94729400408316,"(0.2926810702517968,)"
22,beta,-5.716511047564442e-30,50.0362516156583,"(0.8534059401935382, 1.8091124877445472)"
23,chi,1.9999999999999998,21.98971507753369,"(0.7493794106060052,)"
24,invgauss,3.7262179285699943,0.9000000000089712,"(1.1092227589237535,)"
25,invgauss,-2.1269015090132233,19.122743993479403,"(0.6939254032552882,)"
26,t,4.326406640874911,1.6347454609069065,"(0.8410549665184605,)"
27,beta,3.9999999999999996,4.038341200090592,"(0.39335411421848115, 0.41666191391175056)"
28,chi,1.9999999999999998,14.23434027927756,"(0.5339349481850852,)"
29,alpha,2.0880575311388117,2.7110473606264276,"(1.322825184146411,)"
30,loggamma,7.630283539994522,1.4143248528005472,"(0.8062754259816053,)"
31,chi,2.9999999999999996,8.204221438860817,"(0.525663655867193,)"
32,loggamma,-628.9290509439559,88.03774359485004,"(1327.2191602456505,)"
33,chi,-2.570581310283455e-28,19.814688970609545,"(0.31657798352556216,)"
34,,,,
35,alpha,-1.416012218687892,2.4794871351089345,"(9.607166179032491e-09,)"
36,pareto,-0.07458241992111583,27.07458241942464,"(3.519183001157777,)"
37,chi,-7.896839792465744e-30,0.8816398533329972,"(0.26420645419071176,)"
38,invgamma,-1.5621116449039834,7.407642016701148,"(1.4214034891074108,)"
39,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
40,,,,
41,chi2,-3.893394707969887e-29,1.8199489818103456,"(1.327295916383472,)"
42,chi2,-2.578398130492744e-29,5.292261573514416,"(1.4241375282164839,)"
43,beta,-6.829807805691523e-25,390.5334036118173,"(0.2129495405066986, 99.64156200883912)"
44,,,,
45,t,3.1101195411255675,1.7671231493034685,"(2.141142940651382,)"
46,invgauss,-1.0351085190459965,8.488005029000323,"(1.2642929247820631,)"
47,t,12.315497796866474,4.592067467961078,"(3.503477880689319,)"
48,,,,
