,0,1,2,3
0,,,,
1,invgauss,-1.9211279765170461,10.797844660369222,"(1.394210188694967,)"
2,pareto,-0.016836093407730457,5.016836091971415,"(1.2448197731630215,)"
3,chi2,47.999999999999986,0.7967837067563914,"(1.1021710102191937,)"
4,,,,
5,,,,
6,,,,
7,,,,
8,chi2,2.999999999999999,15.932312357495611,"(0.7251455293527844,)"
9,,,,
10,alpha,-51.4961694994244,474.3922061459358,"(6.733571979058635,)"
11,chi2,-4.42919950217465,5.1751792492689646,"(5.686608540052025,)"
12,,,,
13,invgauss,-16.955581410110895,333.2479351989471,"(0.12027255750714938,)"
14,chi2,15.999999999999996,0.7951789350966876,"(1.1039936217129878,)"
15,chi,4.999999999999999,2.6304310455836055,"(0.22139070380466508,)"
16,invgamma,-36.894219448286336,1945.0396245015322,"(38.409795312758575,)"
17,chi2,7.999999999999999,2.9761299581910103,"(1.158796177726285,)"
18,chi,5.999999999999998,12.969322404143455,"(0.45910108701424945,)"
19,,,,
20,lognorm,2.9999999999999822,0.007800154857378375,"(5.177153078216204,)"
21,pareto,-0.07647431005108485,24.076474308865087,"(8.989108156181409,)"
22,lognorm,-8.93804769874626e-26,3.465506185895605,"(7.676303102142848,)"
23,gamma,2.999999999999999,18.706145883520193,"(0.8376473181097002,)"
24,chi2,3.9999999999999996,5.444169414872617,"(0.46624420179433934,)"
25,t,13.120457896640332,7.363864304291847,"(6.546556844843127,)"
26,pareto,0.9802199636769592,0.008901709794665218,"(0.28925852746120123,)"
27,chi2,3.9999999999999996,6.02632223107636,"(0.8330830562913731,)"
28,loggamma,12.724846394356703,2.1055966451826897,"(0.41126741190055216,)"
29,pareto,-0.026857713050514348,6.026857707127549,"(1.353051601338289,)"
30,invgauss,3.7262179285699943,0.9000000000089712,"(1.1092227589237535,)"
31,chi2,7.999999999999999,1.3777096212554714,"(0.9179373441573269,)"
32,loggamma,7.309834059496996,2.01815503706906,"(0.7274661090125792,)"
33,invgauss,-1.5847001089649555,7.509031639830111,"(1.8333305882170547,)"
34,,,,
35,gamma,1.9999999999999998,8.706614591572672,"(0.3607456128353076,)"
36,lognorm,8.999999999999998,2.4458614589518035,"(6.662558862909797,)"
37,,,,
38,alpha,0.7478668198261476,2.0684716826627545,"(1.2481133176117165e-08,)"
39,,,,
40,,,,
41,invgauss,1.7279599042572165,0.9000000000127929,"(1.1430100239285697,)"
42,t,1.7616882229582256,1.731727782211379,"(1.8626904233472676,)"
43,beta,-1.3183990583979218e-30,8.994158023124019,"(0.4028746887224881, 2.0268244953193495)"
44,,,,
45,t,2.842919541191157,1.5265570881703112,"(1.379867062243357,)"
46,t,3.8516262867434783,3.1558725990607845,"(0.9950322960237776,)"
47,t,13.32019821563729,5.20949265841467,"(3.0798779428732335,)"
48,,,,
49,t,1.426791313885735,1.5320038280829067,"(1.4272524053120916,)"
50,,,,
51,,,,
52,t,3.12501234433066,1.7618921589275374,"(0.7829103688898398,)"
53,gamma,-10000.344356770272,2.500057052761161e-05,"(400024650.83174086,)"
54,,,,
55,beta,-1.4250361785771646,44.42503617857717,"(1.0753037277915471, 0.7813647718767496)"
56,invgamma,-0.27391305614421724,16.09538957023009,"(2.325937523109083,)"
57,,,,
58,chi2,0.9999999999999999,2.5972614768073328,"(1.6348578166408751,)"
59,chi2,23.999999999999993,1.0098060059941463,"(1.0078402341408466,)"
60,,,,
61,invgauss,-13.434658294793998,270.39184872320084,"(0.08194253706485219,)"
62,invgauss,1.7279599042572165,0.9000000000127929,"(1.1430100239285697,)"
63,,,,
64,alpha,-1.283333006383374,2.7023848908375467,"(1.1380570737347602e-07,)"
65,chi2,0.9999999999999998,2.446430518113451,"(1.6952101454459974,)"
66,pareto,-0.03961839722042129,8.039618396635639,"(3.193195404188432,)"
67,,,,
68,pareto,-513640.429469276,513640.429466648,"(28874.342314776728,)"
69,chi,-7.896839792465744e-30,0.8816398533329972,"(0.26420645419071176,)"
70,chi,-6.2564443168441185e-28,26.961743669979057,"(0.4063390355296428,)"
71,pareto,-1.192179900428589,1.192179896482258,"(1.110632932898584,)"
72,pareto,-0.045901198487844616,17.045901191483175,"(2.670604681621985,)"
73,chi2,4.999999999999999,0.870887331958773,"(1.0051612434043635,)"
74,,,,
75,,,,
76,,,,
77,pareto,-1.606863830849028,1.6068638272624658,"(0.8144629485233921,)"
78,,,,
79,chi2,42.99999999999999,0.7967838268347023,"(1.1021710054914615,)"
80,,,,
81,chi2,-5.452013874567118e-31,1.3069748643809218,"(1.4566390484299578,)"
82,chi2,23.999999999999993,0.7951785715324731,"(1.1039936299618875,)"
83,,,,
84,alpha,-6.829793689600745,30.000193556830574,"(2.5051001887335325,)"
85,t,1.2275103632638844,0.8246141938188172,"(1.2921238606446757,)"
86,alpha,-0.12662130287750886,9.24479340095903,"(1.9497072658380272,)"
87,t,2.8990161765746834,1.8071161987810722,"(1.6013321959253592,)"
88,alpha,-1.0062140794018066,1.9092585045825474,"(3.200725324498982e-08,)"
89,,,,
90,gamma,-8.928962164212057e-24,9.81807919211347,"(0.20331285607739702,)"
91,beta,6.485625009484577,8.514374990515424,"(0.5457115747395239, 0.32212105431742344)"
92,chi2,9.999999999999998,0.7951799424170525,"(1.1039935988579175,)"
93,pareto,-0.005273656950374845,2.005273655404526,"(1.7574191289557959,)"
94,t,1.602228649131166,1.3206299817980305,"(0.6000779125989152,)"
95,,,,
96,invgamma,-1.305594260099415,6.436925466377062,"(2.0687195785104677,)"
97,,,,
98,,,,
99,,,,
