,0,1,2,3
0,,,,
1,invgamma,-0.9464962496309641,3.207907575227803,"(0.8551694970936947,)"
2,chi2,-6.6906740632885e-29,1.825004728162237,"(1.3292503261834598,)"
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,lognorm,1.9999999999999998,0.24921880082538386,"(6.8374247996720605,)"
9,,,,
10,gamma,-6.840531372634597,3.9856706085115627,"(6.339227419858915,)"
11,chi,-9.466574245911124e-28,31.338451489725543,"(0.6965301504879939,)"
12,,,,
13,invgamma,0.7492672332019916,4.2035128891745694,"(1.2230882766183706,)"
14,chi,-1.7165098276849825e-30,11.706467041716145,"(0.6761221820699785,)"
15,invgauss,3.7262179285699943,0.9000000000089712,"(1.1092227589237535,)"
16,invgauss,-36.52216637866593,1132.9664174949648,"(0.05229908438270128,)"
17,pareto,-0.015096940124226861,7.01509693344393,"(0.9511356682837934,)"
18,t,6.840758124588335,1.7917322458844702,"(0.9746382608802364,)"
19,,,,
20,pareto,-0.09550422104195906,29.095504220739237,"(6.769932388755738,)"
21,,,,
22,chi,7.999999999999999,9.340967059400093,"(0.6015966884375932,)"
23,chi,1.9999999999999998,24.297619335277474,"(0.7309944279570537,)"
24,pareto,-0.15687734008304852,19.156877340070327,"(3.86114237439528,)"
25,invgauss,1.488557532789596,11.946954056010606,"(0.9607561028107763,)"
26,norm,4.0,2.160246899469287,()
27,chi2,4.999999999999999,0.870887331958773,"(1.0051612434043635,)"
28,gamma,1.9999999999999998,11.054379947631926,"(0.6961926044534188,)"
29,chi2,6.999999999999998,8.704880337308644,"(0.7880507721065834,)"
30,chi,0.9999999999999998,4.641489312370389,"(0.4847631500968004,)"
31,beta,2.9999999999999996,27.929391357045716,"(0.8135884477971378, 1.3545278694925962)"
32,beta,5.650699656977098,8.349300343022904,"(1.130678008140034, 0.845343373972413)"
33,chi,1.9999999999999996,2.6287382684824205,"(0.8795649983630993,)"
34,,,,
35,chi,1.9999999999999998,3.8546469753506933,"(0.5370931493155616,)"
36,pareto,-1.6405430083517758,2.6405429902226274,"(0.564115151142256,)"
37,chi2,22.999999999999996,0.7951809895121461,"(1.1039935751003576,)"
38,invgauss,-0.5839315840403876,7.773713105745067,"(2.197646043994732,)"
39,chi2,-3.3236152831688453e-34,1.0160492250559816,"(0.779425722663547,)"
40,,,,
41,chi,-3.541673753656229e-26,10.813722059812456,"(0.47672237486297253,)"
42,invgamma,-1.15967704461575,3.8878423435125535,"(1.269890809558567,)"
43,chi2,-2.5553551519627203e-31,1.281244125103632,"(1.6950851434724932,)"
44,,,,
45,t,4.613671627271078,2.294110661615546,"(2.4712754720306163,)"
46,invgauss,-2.312264834237596,18.423058751576434,"(0.9462860712382288,)"
47,loggamma,-3303.981207651481,430.84704814503925,"(2218.4284886109435,)"
48,,,,
49,chi,-1.9986290069291483e-27,9.221017147577278,"(0.3578477106560195,)"
50,,,,
51,,,,
52,invgauss,-1.6393219304662145,16.448382739251485,"(1.1737319713275713,)"
53,chi2,-3.3236152831688453e-34,1.0160492250559816,"(0.779425722663547,)"
54,,,,
55,invgauss,5.885695418159497,35.87361346530682,"(0.4133564647180924,)"
56,t,8.32732318274478,4.484035425060894,"(3.6398880509482066,)"
57,,,,
58,pareto,-1.18922625784087,1.1892262501276747,"(0.7477459688247601,)"
59,chi2,21.999999999999993,0.7951792982306919,"(1.1039936134738304,)"
60,,,,
61,pareto,-0.4981696571608213,1.4981696559093192,"(0.9087335718674125,)"
62,,,,
63,invgauss,7.72529538236209,0.9000000000092601,"(1.0921690385972112,)"
64,chi,-9.256766846172301e-27,12.857574458928472,"(0.3607738099090087,)"
65,invgauss,0.730746651201021,0.9000000000398426,"(1.2096266743772968,)"
66,,,,
67,,,,
68,invgamma,-37.16882744042121,1185.242251729101,"(21.78508553709029,)"
69,chi,-3.438233298393027e-28,3.3719508964193414,"(0.4087313744799692,)"
70,chi,-4.659450840876679e-28,13.93983478554943,"(0.6260572716960804,)"
71,gamma,0.9999999999999999,10.138689582240485,"(0.418020501338382,)"
72,chi2,5.999999999999999,2.564012778131728,"(0.6448967648165613,)"
73,invgauss,1.7279599042572165,0.9000000000127929,"(1.1430100239285697,)"
74,pareto,-0.01492205970513753,5.014922014197859,"(1.1185560378805561,)"
75,chi2,5.999999999999998,0.870889600353679,"(1.005158242299189,)"
76,,,,
77,chi,-1.0255178650068497e-28,6.521466491676234,"(0.4566939959928914,)"
78,,,,
79,,,,
80,chi2,-3.3236152831688453e-34,1.0160492250559816,"(0.779425722663547,)"
81,gamma,-4.370229014374842e-27,1.0848223330488875,"(0.6520184702476308,)"
82,chi,0.9999999999999998,5.0008710968870185,"(0.46610734849518165,)"
83,,,,
84,alpha,-5.270515675006818,21.780659349313588,"(2.122077699735011,)"
85,t,1.605828798415716,0.9761494054281152,"(1.5662861746991417,)"
86,t,3.1785642526792293,1.0642967769104494,"(0.8563450078782977,)"
87,t,3.01479050584967,1.2569404809291855,"(1.595199893705539,)"
88,beta,-3.126346948673212e-31,19.816341118458922,"(0.7448693220830709, 3.219095000611615)"
89,,,,
90,chi2,9.999999999999998,0.7951799424170525,"(1.1039935988579175,)"
91,chi2,3.9999999999999996,0.9676529062538644,"(1.0601107899611062,)"
92,,,,
93,invgauss,-2.057635324433866,13.193622604763497,"(1.415305291404544,)"
94,t,0.8678806991718161,0.7403567755963031,"(0.6596633579763234,)"
95,,,,
96,chi,-1.1404543826579103e-29,3.9697088700123424,"(0.3452249097751531,)"
97,,,,
98,,,,
99,,,,
