,0,1,2,3
0,,,,
1,invgauss,-3.4127884856911157,30.540618426341425,"(0.6006172201606744,)"
2,alpha,4.413715090610314,0.9524257890858643,"(2.7305144497063435e-07,)"
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,chi,9.999999999999998,42.532474929898385,"(0.17320803668113532,)"
9,,,,
10,chi,1.6857493303889988,17.60005234225661,"(1.412777845436962,)"
11,chi,3.999999999999999,30.879129780731724,"(0.5017129144024286,)"
12,,,,
13,beta,-1.418706896980117e-29,78.12956773347854,"(0.555067793689969, 3.195184943661401)"
14,alpha,-4.84581163926023,26.482503398462647,"(3.522404081083536,)"
15,norm,4.916666666666667,3.9042355917074927,()
16,invgamma,-17.01493594220314,360.2362621515434,"(11.78427396299339,)"
17,chi,-6.937326750407249e-30,29.287122621993515,"(0.6285272304979708,)"
18,t,6.310563897275575,2.7073236548969586,"(1.2017049322697995,)"
19,chi2,21.999999999999993,0.7951792982306919,"(1.1039936134738304,)"
20,t,12.81913173611818,4.110898443310003,"(1.8618751945268457,)"
21,gamma,4.999999999999913,20.67205988881848,"(0.3114630801794165,)"
22,chi,4.999999999999999,21.869543186926826,"(0.7458506210089955,)"
23,alpha,-33.99147329856599,246.89158115157295,"(5.398934223172503,)"
24,chi,-1.9931523054074396e-29,7.173396092792794,"(0.27185689796303564,)"
25,alpha,-45.59748573317583,415.64715985273915,"(7.038272788961159,)"
26,t,5.457942194922174,1.9739565622476252,"(1.3725710675160447,)"
27,beta,1.9999999999999998,84.29019223265783,"(0.46508760635959956, 10.417117736040808)"
28,invgauss,-2.705540419105241,26.25069026776773,"(0.3697252296354395,)"
29,chi,-1.4927883102615687e-27,16.03347870913935,"(0.2349405397746081,)"
30,chi2,10.999999999999996,1.0278104687247938,"(0.9777553438451523,)"
31,invgamma,-7.425726959694527,103.46055223371549,"(7.309555105741005,)"
32,invgamma,-1.4150307194896548,5.640035293833936,"(1.5977710322807077,)"
33,t,1.643339692944938,1.5716161180835786,"(1.084026750637856,)"
34,,,,
35,invgauss,1.442341794860259,34.42006175123665,"(0.24447372667531897,)"
36,pareto,-0.017209675179348058,5.017209649531388,"(1.4001348224516392,)"
37,chi2,6.999999999999999,0.7951801826330185,"(1.103993593407678,)"
38,invgamma,-1.4765816190594028,4.697625709137942,"(1.0727666013181518,)"
39,,,,
40,,,,
41,alpha,-1.7454963753928054,3.4764813469506817,"(5.2983362361088e-10,)"
42,invgamma,-0.7103823893606316,2.9577375725222583,"(1.503203254293866,)"
43,gamma,-1.1537320540940519e-29,8.173110383774793,"(0.4285066415378608,)"
44,,,,
45,t,2.896831576627937,1.343833535146574,"(2.3198750442021407,)"
46,invgamma,-1.4011573792976786,6.142245999527172,"(1.2992747056384282,)"
47,t,12.327755399679344,4.852061515624012,"(3.346767845074944,)"
48,,,,
49,chi,-5.280942948410219e-27,8.987816938974039,"(0.21077524390628583,)"
50,,,,
51,invgauss,3.7262179285699943,0.9000000000089712,"(1.1092227589237535,)"
52,invgamma,-4.471203421817213,32.72146452923931,"(3.105805685024598,)"
53,norm,1.375,1.1110243021644486,()
54,,,,
55,beta,0.8133899516642142,45.430529136403294,"(1.7065937011832735, 2.1546395220689316)"
56,t,6.046825353108822,3.1842584138221355,"(1.3481955323965908,)"
57,,,,
58,norm,1.3333333333333333,1.247219128924647,()
59,chi,3.9999999999999996,5.483521734896854,"(0.14194697590973043,)"
60,,,,
61,lognorm,0.9999999999968193,0.017932768555214827,"(4.738864057750813,)"
62,gamma,-1.1362663492812866e-26,3.0948264919251405,"(0.2610054749372267,)"
63,beta,0.837885887290103,1.162114112709897,"(1.8579470487102379, 0.2537582135951819)"
64,invgauss,-1.1201349625778065,6.102088624033448,"(1.5442453331703012,)"
65,t,2.0211394680901194,0.7552136079501093,"(0.6105443350133051,)"
66,gamma,-3.457802444885255e-27,10.73220132087431,"(0.2972899013266759,)"
67,,,,
68,alpha,-53.32682269173421,434.0024740345173,"(6.359902571775405,)"
69,norm,0.8,0.9797958971132713,()
70,invgauss,-4.310914077425683,37.137679557451634,"(0.5808599026059234,)"
71,t,1.579173595305107,1.567753089051512,"(10.528955406937701,)"
72,loggamma,-844.9986566593175,129.32265123482097,"(731.8393934263495,)"
73,invgauss,1.7279599042572165,0.9000000000127929,"(1.1430100239285697,)"
74,chi2,0.9999999999999999,0.9833333333333334,"(1.0444444444444443,)"
75,alpha,-0.003530798194677564,3.3042632468415523,"(1.6229348655485782e-07,)"
76,,,,
77,invgauss,-0.5139825157637516,1.9405856490012579,"(3.2536374660384775,)"
78,pareto,-1.2229683427564297,1.2229683413172374,"(1.053132461024806,)"
79,gamma,-2.023608186392589e-26,7.297133006974665,"(0.33321382977363023,)"
80,beta,-0.2979254479391157,3.2979254479391162,"(0.38671251149925456, 0.2616610605369736)"
81,gamma,-5.094776833492437e-28,1.7534117987156392,"(0.5170988384306484,)"
82,invgauss,-1.0728875589662803,5.545901675963075,"(2.086739619254037,)"
83,,,,
84,invgamma,-3.831074486119158,45.82474423406651,"(4.546656207028425,)"
85,t,1.5874062400913136,0.7552152338151296,"(1.32670699103941,)"
86,t,3.4111571434628862,1.6949133145857416,"(0.9643693463723403,)"
87,t,3.391971511288359,1.6444158212687454,"(2.146773412067917,)"
88,t,0.9199511055805698,0.6294224915169412,"(1.9701851911752528,)"
89,,,,
90,invgauss,-1.6009709686689013,9.978634105206517,"(0.5111895736727252,)"
91,chi,-1.7685098155016145e-26,6.895169522881977,"(0.3263379364831833,)"
92,,,,
93,alpha,-1.6734563103371896,3.097869784795183,"(3.137766082736262e-05,)"
94,chi,-7.635816230821979e-28,17.141038976297796,"(0.5320112218484894,)"
95,chi2,0.9999999999999998,3.2736553842525264,"(0.6258135652823748,)"
96,chi2,-3.1615238943979984e-29,1.8199508950359182,"(1.3272966082636182,)"
97,,,,
98,,,,
99,,,,
