,abscisse,ordonnée
0,0.0,8.9911333477036e+19
1,0.5,0.397411258953252
2,1.0,0.20354798604945637
3,1.5,0.12426303502406842
4,2.0,0.08151449272588536
5,2.5,0.05562029312146692
6,3.0,0.03890911518377346
7,3.5,0.027690829637513053
8,4.0,0.019956556497797342
9,4.5,0.014521425696616767
10,5.0,0.01064695519858659
11,5.5,0.007854261938187836
12,6.0,0.005823510806597309
13,6.5,0.004336220886172284
14,7.0,0.0032404914226425528
15,7.5,0.002429215726210791
16,8.0,0.0018260047043027164
17,8.5,0.001375862573330364
18,9.0,0.0010388836723356468
19,9.5,0.0007859195416695016
20,10.0,0.0005955585555680428
21,10.5,0.0004519956850231727
22,11.0,0.00034351507431171826
23,11.5,0.00026139994353602535
24,12.0,0.00019914375062437742
25,12.5,0.00015187574503669113
26,13.0,0.00011594034039677575
27,13.5,8.858763110790919e-05
28,14.0,6.774471623923362e-05
29,14.5,5.184609484696212e-05
30,15.0,3.9707451429867586e-05
31,15.5,3.043144915629512e-05
32,16.0,2.3337224229130906e-05
33,16.5,1.7907490225083766e-05
34,17.0,1.374876666780226e-05
35,17.5,1.0561415694592902e-05
36,18.0,8.11702685609093e-06
37,18.5,6.2413195342625664e-06
38,19.0,4.801197013604338e-06
39,19.5,3.694930290785352e-06
40,20.0,2.844705322317548e-06
41,20.5,2.1909578660229056e-06
42,21.0,1.6880623507875685e-06
43,21.5,1.3010477511009596e-06
44,22.0,1.003093398669852e-06
45,22.5,7.736177875253188e-07
46,23.0,5.968187237525733e-07
47,23.5,4.6055735186845056e-07
48,24.0,3.5550442438669445e-07
49,24.5,2.74486735649756e-07
50,25.0,2.1198646207466062e-07
51,25.5,1.6375739843176918e-07
52,26.0,1.2653062525126584e-07
53,26.5,9.778864209736022e-08
54,27.0,7.559195007032803e-08
55,27.5,5.844583819987402e-08
56,28.0,4.519800503592134e-08
57,28.5,3.495984280108028e-08
58,29.0,2.704588928220296e-08
59,29.5,2.0927235457092563e-08
60,30.0,1.6195658352978103e-08
61,30.5,1.2536000087556144e-08
62,31.0,9.704889729258036e-09
63,31.5,7.514345904576563e-09
64,32.0,5.819136540929246e-09
65,32.5,4.507031863423341e-09
66,33.0,3.491286177573373e-09
67,33.5,2.7048371480662737e-09
68,34.0,2.095828999965365e-09
69,34.5,1.6241565723397595e-09
70,35.0,1.2587967649236227e-09
71,35.5,9.75747480488865e-10
72,36.0,7.564353947230539e-10
73,36.5,5.864856327856651e-10
74,37.0,4.5477088642718386e-10
75,37.5,3.526763490540096e-10
76,38.0,2.7353137054643043e-10
77,38.5,2.1216993237493033e-10
78,39.0,1.645906806362851e-10
79,39.5,1.2769391789286654e-10
80,40.0,9.907809661274748e-11
81,40.5,7.688232596216764e-11
82,41.0,5.96644680380566e-11
83,41.5,4.6306766102895944e-11
84,42.0,3.5942775352229725e-11
85,42.5,2.7900779064965537e-11
86,43.0,2.1659964406428287e-11
87,43.5,1.6816475764006012e-11
88,44.0,1.3057115693237153e-11
89,44.5,1.0138967867683356e-11
90,45.0,7.873606464368373e-12
91,45.5,6.114858128219962e-12
92,46.0,4.7493160874084014e-12
93,46.5,3.688986621590325e-12
94,47.0,2.865587882368361e-12
95,47.5,2.2261292778064945e-12
96,48.0,1.7294834097375806e-12
97,48.5,1.3437274215625735e-12
98,49.0,1.044080850081087e-12
99,49.5,8.113059841152957e-13
100,50.0,6.304668732845335e-13
