,abscisse,ordonnée
0,0.0,0.13866207216113682
1,0.5,0.20057320016402483
2,1.0,0.20083907537508983
3,1.5,0.17864578700012387
4,2.0,0.15236695646144977
5,2.5,0.1282252617105035
6,3.0,0.10775220608904251
7,3.5,0.09088925068387273
8,4.0,0.07712660899482114
9,4.5,0.06589707058623819
10,5.0,0.05669814492530764
11,5.5,0.04911794749468592
12,6.0,0.04282930568704045
13,6.5,0.03757547760953008
14,7.0,0.033155579559028446
15,7.5,0.029412145373564427
16,8.0,0.02622120370691693
17,8.5,0.02348459695329323
18,9.0,0.02112411200387662
19,9.5,0.019077014910734286
20,10.0,0.017292652405480564
21,10.5,0.015729857492728695
22,11.0,0.014354959770290682
23,11.5,0.013140251168113697
24,12.0,0.012062795835974407
25,12.5,0.011103501304751929
26,13.0,0.010246389066847258
27,13.5,0.009478018240158243
28,14.0,0.008787027443350854
29,14.5,0.008163768499769445
30,15.0,0.00760001189893272
31,15.5,0.007088708658783052
32,16.0,0.006623796771049566
33,16.5,0.006200043083486963
34,17.0,0.005812913500299211
35,17.5,0.005458465929500475
36,18.0,0.005133261593530647
37,18.5,0.00483429123580489
38,19.0,0.004558913466759822
39,19.5,0.004304803047327346
40,20.0,0.004069907342284824
41,20.5,0.0038524095181968593
42,21.0,0.0036506973315614463
43,21.5,0.003463336568183032
44,22.0,0.0032890483668558726
45,22.5,0.0031266897984769683
46,23.0,0.002975237182915369
47,23.5,0.0028337717159245056
48,24.0,0.002701467051443892
49,24.5,0.0025775785441980704
50,25.0,0.0024614339062375592
51,25.5,0.0023524250710890166
52,26.0,0.0022500010921618057
53,26.5,0.002153661929326209
54,27.0,0.0020629530001970444
55,27.5,0.0019774603914773405
56,28.0,0.0018968066414252688
57,28.5,0.001820647017657301
58,29.0,0.0017486662255395767
59,29.5,0.0016805754917127297
60,30.0,0.001616109975139547
61,30.5,0.0015550264647036577
62,31.0,0.001497101328019975
63,31.5,0.001442128680908465
64,32.0,0.0013899187510673298
65,32.5,0.001340296412972284
66,33.0,0.0012930998740181907
67,33.5,0.0012481794944855982
68,34.0,0.001205396726122294
69,34.5,0.0011646231560329327
70,35.0,0.001125739644213444
71,35.5,0.0010886355444895191
72,36.0,0.0010532079998520289
73,36.5,0.0010193613042537922
74,37.0,0.0009870063238649025
75,37.5,0.0009560599715969289
76,38.0,0.0009264447294166481
77,38.5,0.0008980882135912713
78,39.0,0.0008709227785517108
79,39.5,0.000844885155538383
80,40.0,0.0008199161226142228
81,40.5,0.0007959602029995248
82,41.0,0.0007729653890094892
83,41.5,0.0007508828891634036
84,42.0,0.0007296668962891829
85,42.5,0.0007092743746725773
86,43.0,0.0006896648645004808
87,43.5,0.000670800302025412
88,44.0,0.0006526448540362203
89,44.5,0.0006351647653607202
90,45.0,0.0006183282182513212
91,45.5,0.0006021052026166384
92,46.0,0.0005864673961620088
93,46.5,0.0005713880535913497
94,47.0,0.0005568419041028636
95,47.5,0.0005428050564829745
96,48.0,0.0005292549111673282
97,48.5,0.0005161700786956931
98,49.0,0.0005035303040396714
99,49.5,0.0004913163963291443
100,50.0,0.0004795101635456389
