,abscisse,ordonnée
0,0.0,0.03285066474937906
1,0.5,0.04043472918943289
2,1.0,0.04878619416641197
3,1.5,0.05770572691213016
4,2.0,0.06692180218035329
5,2.5,0.07610090989569113
6,3.0,0.08486565618253818
7,3.5,0.09281966898209063
8,4.0,0.09957713257947777
9,4.5,0.10479391085473451
10,5.0,0.10819675062348794
11,5.5,0.109607095838413
12,6.0,0.10895661273580277
13,6.5,0.10629254832200308
14,7.0,0.10177235674860284
15,7.5,0.0956484127265479
16,8.0,0.0882448604239551
17,8.5,0.07992952757473004
18,9.0,0.07108424636878728
19,9.5,0.062076834104657884
20,10.0,0.05323745605266843
21,10.5,0.04484124901752
22,11.0,0.03709809349160334
23,11.5,0.030149454535094586
24,12.0,0.024071407410450277
25,12.5,0.018882414661003127
26,13.0,0.014554160470775802
27,13.5,0.011023756752307396
28,14.0,0.008205855572971594
29,14.5,0.006003555810107441
30,15.0,0.00431739741327391
31,15.5,0.0030521252742395856
32,16.0,0.002121227794465919
33,16.5,0.0014494871623631968
34,17.0,0.000973914313337292
35,17.5,0.0006434922993054669
36,18.0,0.0004181372227258012
37,18.5,0.00026722897273490917
38,19.0,0.00016798619047571014
39,19.5,0.00010387828467494503
40,20.0,6.319353650229584e-05
41,20.5,3.7822701311032364e-05
42,21.0,2.227406301671487e-05
43,21.5,1.2907678218962345e-05
44,22.0,7.360937177686087e-06
45,22.5,4.131318163062074e-06
46,23.0,2.282173859061447e-06
47,23.5,1.2409295226423407e-06
48,24.0,6.642282150956066e-07
49,24.5,3.500197868113835e-07
50,25.0,1.8159586893080882e-07
51,25.5,9.276629347200117e-08
52,26.0,4.666355870177275e-08
53,26.5,2.311539002395747e-08
54,27.0,1.1276968952363313e-08
55,27.5,5.418551118840719e-09
56,28.0,2.564514793108888e-09
57,28.5,1.1956109168603544e-09
58,29.0,5.491213457434245e-10
59,29.5,2.484685988047408e-10
60,30.0,1.107720377549949e-10
61,30.5,4.8660294128065574e-11
62,31.0,2.1063743125739885e-11
63,31.5,8.985508855765386e-12
64,32.0,3.777686975075858e-12
65,32.5,1.5653630406157307e-12
66,33.0,6.39351131370189e-13
67,33.5,2.5741170487952514e-13
68,34.0,1.0216700570368387e-13
69,34.5,3.997747767958819e-14
70,35.0,1.542307929943824e-14
71,35.5,5.866866434878753e-15
72,36.0,2.2006397390753452e-15
73,36.5,8.140055753619793e-16
74,37.0,2.969404286008488e-16
75,37.5,1.0683227069435597e-16
76,38.0,3.791003874051319e-17
77,38.5,1.3269419187207521e-17
78,39.0,4.581657348021403e-18
79,39.5,1.5606057779935357e-18
80,40.0,5.244335285923659e-19
81,40.5,1.7387649017382488e-19
82,41.0,5.688147096086462e-20
83,41.5,1.8361429729735692e-20
84,42.0,5.84889602929448e-21
85,42.5,1.838649174904715e-21
86,43.0,5.704361819797348e-22
87,43.5,1.7467227205362552e-22
88,44.0,5.279282526650115e-23
89,44.5,1.5750161781303955e-23
90,45.0,4.638518533680065e-24
91,45.5,1.3485981286841326e-24
92,46.0,3.87096675529195e-25
93,46.5,1.0970197662273994e-25
94,47.0,3.0696715951012534e-26
95,47.5,8.481565077868932e-27
96,48.0,2.3141457750517255e-27
97,48.5,6.235336730712775e-28
98,49.0,1.659232681382038e-28
99,49.5,4.3607019151751576e-29
100,50.0,1.1319588108795285e-29
