,abscisse,ordonnée
0,0.0,0.006365516327395245
1,0.5,0.008265372180451074
2,1.0,0.010384744390352807
3,1.5,0.012683319217801704
4,2.0,0.015115242911222982
5,2.5,0.01763209045610606
6,3.0,0.02018544637417217
7,3.5,0.022728996462383026
8,4.0,0.02522010404277628
9,4.5,0.027620895114574807
10,5.0,0.02989890746424995
11,5.5,0.03202737394818882
12,6.0,0.03398521430681289
13,6.5,0.03575680681169957
14,7.0,0.03733160376441557
15,7.5,0.038703645528058085
16,8.0,0.03987101786468135
17,8.5,0.04083528781811793
18,9.0,0.041600944765176874
19,9.5,0.04217486581936983
20,10.0,0.04256581858256431
21,10.5,0.042784009256359924
22,11.0,0.04284068023514465
23,11.5,0.042747758363788975
24,12.0,0.04251755290313959
25,12.5,0.04216250075954723
26,13.0,0.04169495556743234
27,13.5,0.0411270166500333
28,14.0,0.04047039362453175
29,14.5,0.039736302382490124
30,15.0,0.03893538829947186
31,15.5,0.03807767275712972
32,16.0,0.03717251935695065
33,16.5,0.036228616536981964
34,17.0,0.03525397364890381
35,17.5,0.03425592789675545
36,18.0,0.03324115986944185
37,18.5,0.03221571570964293
38,19.0,0.031185034247634497
39,19.5,0.030153977687667248
40,20.0,0.029126864666361905
41,20.5,0.028107504707582345
42,21.0,0.027099233277696002
43,21.5,0.026104946800738774
44,22.0,0.02512713712674948
45,22.5,0.024167925060517542
46,23.0,0.02322909265429991
47,23.5,0.022312114048744405
48,24.0,0.021418184713235703
49,24.5,0.020548248991942335
50,25.0,0.019703025906621246
51,25.5,0.018883033203202643
52,26.0,0.018088609657646484
53,26.5,0.01731993567869521
54,27.0,0.01657705226196459
55,27.5,0.015859878362204677
56,28.0,0.015168226759294278
57,28.5,0.01450181849926588
58,29.0,0.013860295994958525
59,29.5,0.01324323487224482
60,30.0,0.012650154647579107
61,30.5,0.01208052832120986
62,31.0,0.011533790968073016
63,31.5,0.011009347405372466
64,32.0,0.010506579012351818
65,32.5,0.010024849773928587
66,33.0,0.009563511615825976
67,33.5,0.00912190909470234
68,34.0,0.008699383502626263
69,34.5,0.008295276441139827
70,35.0,0.007908932916143903
71,35.5,0.007539704000963311
72,36.0,0.007186949111233706
73,36.5,0.0068500379317146115
74,37.0,0.00652835203178546
75,37.5,0.006221286203230521
76,38.0,0.005928249550966297
77,38.5,0.0056486663646099335
78,39.0,0.005381976796225712
79,39.5,0.005127637367212901
80,40.0,0.0048851213251051625
81,40.5,0.004653918869030599
82,41.0,0.004433537260724305
83,41.5,0.004223500836281921
84,42.0,0.004023350932284201
85,42.5,0.003832645738499664
86,43.0,0.003650960088075347
87,43.5,0.0034778851949458928
88,44.0,0.003313028347119848
89,44.5,0.0031560125635307725
90,45.0,0.0030064762212616827
91,45.5,0.002864072659157073
92,46.0,0.0027284697631202066
93,46.5,0.002599349537747844
94,47.0,0.002476407668374151
95,47.5,0.0023593530770743896
96,48.0,0.002247907475711667
97,48.5,0.0021418049186920024
98,49.0,0.0020407913577193152
99,49.5,0.0019446242005087457
100,50.0,0.0018530718751201623
