,abscisse,ordonnée
0,0.0,5911588610856.78
1,0.5,0.4373813497016302
2,1.0,0.25040407356602723
3,1.5,0.16404702708768984
4,2.0,0.11355588948222911
5,2.5,0.08100503682660337
6,3.0,0.05888992686925422
7,3.5,0.04337282624082708
8,4.0,0.03224799310036598
9,4.5,0.024149207449017687
10,5.0,0.018186125907248288
11,5.5,0.013757227343802097
12,6.0,0.010445226034546732
13,6.5,0.00795480745245802
14,7.0,0.0060737298493125725
15,7.5,0.0046475919449162
16,8.0,0.0035629716344343474
17,8.5,0.0027358876003112367
18,9.0,0.00210375040456335
19,9.5,0.0016196591389464944
20,10.0,0.0012483076698425635
21,10.5,0.0009630145987174518
22,11.0,0.0007435490931276469
23,11.5,0.0005745272522063512
24,12.0,0.00044422167648664954
25,12.5,0.00034367291269163397
26,13.0,0.00026602308665900847
27,13.5,0.00020601412196345973
28,14.0,0.00015960855059714377
29,14.5,0.0001237020754221303
30,15.0,9.590509009132281e-05
31,15.5,7.437621493370837e-05
32,16.0,5.769519581735296e-05
33,16.5,4.4765675437605365e-05
34,17.0,3.474069163681017e-05
35,17.5,2.6965505079539306e-05
36,18.0,2.093366679288755e-05
37,18.5,1.6253219074529705e-05
38,19.0,1.262066445705771e-05
39,19.5,9.800897994683546e-06
40,20.0,7.611723279911816e-06
41,20.5,5.911895815688206e-06
42,21.0,4.591883638482671e-06
43,21.5,3.5667230994031344e-06
44,22.0,2.770491500766069e-06
45,22.5,2.152028431986675e-06
46,23.0,1.6716221453185496e-06
47,23.5,1.2984422168030128e-06
48,24.0,1.0085496525563438e-06
49,24.5,7.833540285085865e-07
50,25.0,6.08416865189783e-07
51,25.5,4.7252328019302805e-07
52,26.0,3.6696159252672866e-07
53,26.5,2.849641732963931e-07
54,27.0,2.2127336564717976e-07
55,27.5,1.718044403848733e-07
56,28.0,1.3338385590840557e-07
57,28.5,1.0354597078514164e-07
58,29.0,8.037513728070882e-08
59,29.5,6.238303346163049e-08
60,30.0,4.8413362409401756e-08
61,30.5,3.756780819033351e-08
62,31.0,2.9148504384044198e-08
63,31.5,2.26133310466045e-08
64,32.0,1.7541178752380743e-08
65,32.5,1.3604957084650472e-08
66,33.0,1.0550620893978163e-08
67,33.5,8.180872797607572e-09
68,34.0,6.342499549899181e-09
69,34.5,4.916532305700843e-09
70,35.0,3.8106013466771e-09
71,35.5,2.9529961245167868e-09
72,36.0,2.288050482938971e-09
73,36.5,1.7725576311146562e-09
74,37.0,1.3729852737751082e-09
75,37.5,1.063312466983166e-09
76,38.0,8.233495329744476e-10
77,38.5,6.374332728932963e-10
78,39.0,4.934137364569143e-10
79,39.5,3.818674763949433e-10
80,40.0,2.954867249359069e-10
81,40.5,2.2860520608076807e-10
82,41.0,1.7683006098674485e-10
83,41.5,1.3675617417968165e-10
84,42.0,1.0574448057686342e-10
85,42.5,8.174994561287748e-11
86,43.0,6.318810599414654e-11
87,43.5,4.88315411025336e-11
88,44.0,3.772957366109586e-11
89,44.5,2.9145996428611796e-11
90,45.0,2.251078536861708e-11
91,45.5,1.7382663531165317e-11
92,46.0,1.3420081761678819e-11
93,46.5,1.0358727363418292e-11
94,47.0,7.994094999275353e-12
95,47.5,6.167982630419863e-12
96,48.0,4.758030292788693e-12
97,48.5,3.669617431124505e-12
98,49.0,2.8295881033823177e-12
99,49.5,2.181392547047629e-12
100,50.0,1.6813260615521914e-12
